Enzyme 	KO 	D 	C 	B 	A 	
Y54E5A.6 hypothetical protein	K05543 tRNA-dihydrouridine synthase 2 [EC:1.3.1.91] 	1.3.1.91  tRNA-dihydrouridine20 synthase [NAD(P)+] 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
C15F1.6 art-1; steroid Alpha ReducTase family member (art-1)	K10258 enoyl reductase [EC:1.3.1.-] 	1.3.1.- 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
C48B4.1 hypothetical protein	K00232 acyl-CoA oxidase [EC:1.3.3.6] 	1.3.3.6  acyl-CoA oxidase 	1.3.3  With oxygen as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F08A8.2 hypothetical protein	K00232 acyl-CoA oxidase [EC:1.3.3.6] 	1.3.3.6  acyl-CoA oxidase 	1.3.3  With oxygen as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F08A8.3 hypothetical protein	K00232 acyl-CoA oxidase [EC:1.3.3.6] 	1.3.3.6  acyl-CoA oxidase 	1.3.3  With oxygen as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F08A8.4 hypothetical protein	K00232 acyl-CoA oxidase [EC:1.3.3.6] 	1.3.3.6  acyl-CoA oxidase 	1.3.3  With oxygen as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F25C8.1 hypothetical protein	K00232 acyl-CoA oxidase [EC:1.3.3.6] 	1.3.3.6  acyl-CoA oxidase 	1.3.3  With oxygen as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F59F4.1 hypothetical protein	K00232 acyl-CoA oxidase [EC:1.3.3.6] 	1.3.3.6  acyl-CoA oxidase 	1.3.3  With oxygen as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F58F9.7 hypothetical protein	K00232 acyl-CoA oxidase [EC:1.3.3.6] 	1.3.3.6  acyl-CoA oxidase 	1.3.3  With oxygen as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F08A8.1 hypothetical protein	K00232 acyl-CoA oxidase [EC:1.3.3.6] 	1.3.3.6  acyl-CoA oxidase 	1.3.3  With oxygen as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
C03G5.1 sdha-1; Succinate DeHydrogenase complex subunit A family member (sdha-1)	K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1] 	1.3.5.1  succinate dehydrogenase (ubiquinone) 	1.3.5  With a quinone or related compound as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
C34B2.7 sdha-2; Succinate DeHydrogenase complex subunit A family member (sdha-2)	K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1] 	1.3.5.1  succinate dehydrogenase (ubiquinone) 	1.3.5  With a quinone or related compound as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F42A8.2 sdhb-1; Succinate DeHydrogenase complex subunit B family member (sdhb-1)	K00235 succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1] 	1.3.5.1  succinate dehydrogenase (ubiquinone) 	1.3.5  With a quinone or related compound as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
W02D3.2 dhod-1; DiHydroOrotate Dehydrogenas family member (dhod-1)	K00254 dihydroorotate dehydrogenase [EC:1.3.5.2] 	1.3.5.2  dihydroorotate dehydrogenase (quinone) 	1.3.5  With a quinone or related compound as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
C02B10.1 ivd-1; IsoValeryl-CoA Dehydrogenase family member (ivd-1)	K00253 isovaleryl-CoA dehydrogenase [EC:1.3.8.4] 	1.3.8.4  isovaleryl-CoA dehydrogenase 	1.3.8  With a flavin as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
T25G12.5 acdh-7; Acyl CoA DeHydrogenase family member (acdh-7)	K00249 acyl-CoA dehydrogenase [EC:1.3.99.3] 	1.3.99.3  acyl-CoA dehydrogenase 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
K05F1.3 acdh-8; Acyl CoA DeHydrogenase family member (acdh-8)	K00249 acyl-CoA dehydrogenase [EC:1.3.99.3] 	1.3.99.3  acyl-CoA dehydrogenase 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
K09H11.1 hypothetical protein	K00249 acyl-CoA dehydrogenase [EC:1.3.99.3] 	1.3.99.3  acyl-CoA dehydrogenase 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
T08G2.3 acdh-10; Acyl CoA DeHydrogenase family member (acdh-10)	K00249 acyl-CoA dehydrogenase [EC:1.3.99.3] 	1.3.99.3  acyl-CoA dehydrogenase 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F42F12.3 hypothetical protein	K12343 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.99.5] 	1.3.99.5  3-oxo-5alpha-steroid 4-dehydrogenase 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
B0024.13 hypothetical protein	K12345 3-oxo-5-alpha-steroid 4-dehydrogenase 3 [EC:1.3.99.5] 	1.3.99.5  3-oxo-5alpha-steroid 4-dehydrogenase 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F54D5.7 hypothetical protein	K00252 glutaryl-CoA dehydrogenase [EC:1.3.99.7] 	1.3.99.7  glutaryl-CoA dehydrogenase 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
K06A5.6 acdh-3; Acyl CoA DeHydrogenase family member (acdh-3)	K09478 short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12] 	1.3.99.12  2-methylacyl-CoA dehydrogenase 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
T10E9.9 acdh-4; Acyl CoA DeHydrogenase family member (acdh-4)	K00257 [EC:1.3.99.-] 	1.3.99.- 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
E04F6.5 acdh-12; Acyl CoA DeHydrogenase family member (acdh-12)	K09479 very long chain acyl-CoA dehydrogenase [EC:1.3.99.-] 	1.3.99.- 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F28A10.6 acdh-9; Acyl CoA DeHydrogenase family member (acdh-9)	K11538 isobutyryl-CoA dehydrogenase [EC:1.3.99.-] 	1.3.99.- 	1.3.99  With other acceptors 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
ZK829.4 hypothetical protein	K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3] 	1.4.1.3  glutamate dehydrogenase [NAD(P)+] 	1.4.1  With NAD+ or NADP+ as acceptor 	1.4  Acting on the CH-NH2 group of donors 	<b>1. Oxidoreductases</b> 	
W07E11.1 hypothetical protein	K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14] 	1.4.1.13  glutamate synthase (NADPH) 	1.4.1  With NAD+ or NADP+ as acceptor 	1.4  Acting on the CH-NH2 group of donors 	<b>1. Oxidoreductases</b> 	
W07E11.1 hypothetical protein	K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14] 	1.4.1.14  glutamate synthase (NADH) 	1.4.1  With NAD+ or NADP+ as acceptor 	1.4  Acting on the CH-NH2 group of donors 	<b>1. Oxidoreductases</b> 	
F18E3.7 hypothetical protein	K00272 D-aspartate oxidase [EC:1.4.3.1] 	1.4.3.1  D-aspartate oxidase 	1.4.3  With oxygen as acceptor 	1.4  Acting on the CH-NH2 group of donors 	<b>1. Oxidoreductases</b> 	
C47A10.5 hypothetical protein	K00272 D-aspartate oxidase [EC:1.4.3.1] 	1.4.3.1  D-aspartate oxidase 	1.4.3  With oxygen as acceptor 	1.4  Acting on the CH-NH2 group of donors 	<b>1. Oxidoreductases</b> 	
Y69A2AR.5 hypothetical protein	K00273 D-amino-acid oxidase [EC:1.4.3.3] 	1.4.3.3  D-amino-acid oxidase 	1.4.3  With oxygen as acceptor 	1.4  Acting on the CH-NH2 group of donors 	<b>1. Oxidoreductases</b> 	
F57B9.1 hypothetical protein	K00275 pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5] 	1.4.3.5  pyridoxal 5'-phosphate synthase 	1.4.3  With oxygen as acceptor 	1.4  Acting on the CH-NH2 group of donors 	<b>1. Oxidoreductases</b> 	
R12C12.1 hypothetical protein	K00281 glycine dehydrogenase [EC:1.4.4.2] 	1.4.4.2  glycine dehydrogenase (decarboxylating) 	1.4.4  With a disulfide as acceptor 	1.4  Acting on the CH-NH2 group of donors 	<b>1. Oxidoreductases</b> 	
M153.1 hypothetical protein	K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2] 	1.5.1.2  pyrroline-5-carboxylate reductase 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
F55G1.9 hypothetical protein	K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2] 	1.5.1.2  pyrroline-5-carboxylate reductase 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
C36B1.7 dhfr-1; DiHydroFolate Reductase family member (dhfr-1)	K00287 dihydrofolate reductase [EC:1.5.1.3] 	1.5.1.3  dihydrofolate reductase 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
K07E3.4 hypothetical protein	K00288 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3] 	1.5.1.5  methylenetetrahydrofolate dehydrogenase (NADP+) 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
F36H1.6 alh-3; ALdehyde deHydrogenase family member (alh-3)	K00289 formyltetrahydrofolate dehydrogenase [EC:1.5.1.6] 	1.5.1.6  formyltetrahydrofolate dehydrogenase 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
R02D3.1 hypothetical protein	K14157 alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9] 	1.5.1.8  saccharopine dehydrogenase (NADP+, L-lysine-forming) 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
R02D3.1 hypothetical protein	K14157 alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9] 	1.5.1.9  saccharopine dehydrogenase (NAD+, L-glutamate-forming) 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
F56D12.1 alh-6; ALdehyde deHydrogenase family member (alh-6)	K00294 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.1.12] 	1.5.1.12  1-pyrroline-5-carboxylate dehydrogenase 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
K07E3.3 dao-3; Dauer or Aging adult Overexpression family member (dao-3)	K13403 methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9] 	1.5.1.15  methylenetetrahydrofolate dehydrogenase (NAD+) 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
C06A8.1 hypothetical protein	K00297 methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] 	1.5.1.20  methylenetetrahydrofolate reductase [NAD(P)H] 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
T03F6.1 qdpr-1; Quinoid DihyroPteridine Reductase family member (qdpr-1)	K00357 dihydropteridine reductase [EC:1.5.1.34] 	1.5.1.34  6,7-dihydropteridine reductase 	1.5.1  With NAD+ or NADP+ as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
C05D11.12 let-721; LEThal family member (let-721)	K00311 electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1] 	1.5.5.1  electron-transferring-flavoprotein dehydrogenase 	1.5.5  With a quinone or similar compound as acceptor 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
B0513.5 hypothetical protein	K00318 proline dehydrogenase [EC:1.5.99.8] 	1.5.99.8  proline dehydrogenase 	1.5.99  With other acceptors 	1.5  Acting on the CH-NH group of donors 	<b>1. Oxidoreductases</b> 	
C15H9.1 nnt-1; Nicotinamide Nucleotide Transhydrogenase family member (nnt-1)	K00323 NAD(P) transhydrogenase [EC:1.6.1.2] 	1.6.1.2  NAD(P)+ transhydrogenase (AB-specific) 	1.6.1  With NAD+ or NADP+ as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
T05H4.4 hypothetical protein	K00326 cytochrome-b5 reductase [EC:1.6.2.2] 	1.6.2.2  cytochrome-b5 reductase 	1.6.2  With a heme protein as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
T05H4.5 hypothetical protein	K00326 cytochrome-b5 reductase [EC:1.6.2.2] 	1.6.2.2  cytochrome-b5 reductase 	1.6.2  With a heme protein as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
K10D2.6 emb-8; abnormal EMBroygenesis family member (emb-8)	K00327 NADPH-ferrihemoprotein reductase [EC:1.6.2.4] 	1.6.2.4  NADPH---hemoprotein reductase 	1.6.2  With a heme protein as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
F56C11.1 bli-3; BLIstered cuticle family member (bli-3)	K13411 dual oxidase [EC:1.6.3.1 1.11.1.-] 	1.6.3.1  NAD(P)H oxidase 	1.6.3  With oxygen as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
ND1 NADH dehydrogenase subunit 1	K03878 NADH-ubiquinone oxidoreductase chain 1 [EC:1.6.5.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
ND2 NADH dehydrogenase subunit 2	K03879 NADH-ubiquinone oxidoreductase chain 2 [EC:1.6.5.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
ND3 NADH dehydrogenase subunit 3	K03880 NADH-ubiquinone oxidoreductase chain 3 [EC:1.6.5.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
ND4 NADH dehydrogenase subunit 4	K03881 NADH-ubiquinone oxidoreductase chain 4 [EC:1.6.5.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
ND4L NADH dehydrogenase subunit 4L	K03882 NADH-ubiquinone oxidoreductase chain 4L [EC:1.6.5.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
ND5 NADH dehydrogenase subunit 5	K03883 NADH-ubiquinone oxidoreductase chain 5 [EC:1.6.5.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
ND6 NADH dehydrogenase subunit 6	K03884 NADH-ubiquinone oxidoreductase chain 6 [EC:1.6.5.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
Y45G12B.1 nuo-5; NADH Ubiquinone Oxidoreductase family member (nuo-5)	K03934 NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
K09A9.5 gas-1; General Anaesthetic Sensitivity abnormal family member (gas-1)	K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
T26A5.3 nduf-2.2; NADH Ubiquinone oxidoreductase Fe-S protein family member (nduf-2.2)	K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
T10E9.7 nuo-2; NADH Ubiquinone Oxidoreductase family member (nuo-2)	K03936 NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
ZK973.10 lpd-5; LiPid Depleted family member (lpd-5)	K03937 NADH dehydrogenase (ubiquinone) Fe-S protein 4 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
Y54E10BL.5 nduf-5; NADH Ubiquinone oxidoreductase Fe-S protein family member (nduf-5)	K03938 NADH dehydrogenase (ubiquinone) Fe-S protein 5 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
F22D6.4 nduf-6; NADH Ubiquinone oxidoreductase Fe-S protein family member (nduf-6)	K03939 NADH dehydrogenase (ubiquinone) Fe-S protein 6 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
W10D5.2 nduf-7; NADH Ubiquinone oxidoreductase Fe-S protein family member (nduf-7)	K03940 NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
T20H4.5 hypothetical protein	K03941 NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
C09H10.3 nuo-1; NADH Ubiquinone Oxidoreductase family member (nuo-1)	K03942 NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
F53F4.10 hypothetical protein	K03943 NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
F31D4.9 hypothetical protein	K03945 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 1 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
Y63D3A.7 hypothetical protein	K03946 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 2 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
C25A1.13 hypothetical protein	K03946 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 2 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
C33A12.1 hypothetical protein	K03949 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
Y57G11C.12 nuo-3; NADH Ubiquinone Oxidoreductase family member (nuo-3)	K03950 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 6 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
F45H10.3 hypothetical protein	K03951 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 7 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
Y54F10AM.5 hypothetical protein	K03952 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 8 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
Y53G8AL.2 hypothetical protein	K03953 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 9 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
K04G7.4 nuo-4; NADH Ubiquinone Oxidoreductase family member (nuo-4)	K03954 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
F16B4.6 hypothetical protein	K03955 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
F37C12.3 hypothetical protein	K03955 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
Y56A3A.19 hypothetical protein	K03955 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
F44G4.2 hypothetical protein	K03958 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 2 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
C18E9.4 hypothetical protein	K03959 NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3 [EC:1.6.5.3 1.6.99.3] 	1.6.5.3  NADH:ubiquinone reductase (H+-translocating) 	1.6.5  With a quinone or similar compound as acceptor 	1.6  Acting on NADH or NADPH 	<b>1. Oxidoreductases</b> 	
