GENES 	KO 	C 	B 	A 	
ZK632.4 hypothetical protein	K01809 mannose-6-phosphate isomerase [EC:5.3.1.8] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F52B11.2 hypothetical protein	K01840 phosphomannomutase [EC:5.4.2.8] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C42C1.5 tag-335; Temporarily Assigned Gene name family member (tag-335)	K00966 mannose-1-phosphate guanylyltransferase [EC:2.7.7.13] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y47D9A.1 hypothetical protein	K00966 mannose-1-phosphate guanylyltransferase [EC:2.7.7.13] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F56H6.5 gmd-2; GDP-Mannose Dehydratase family member (gmd-2)	K01711 GDPmannose 4,6-dehydratase [EC:4.2.1.47] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C53B4.7 bre-1; BT (Bacillus thuringiensis) toxin REsistant family member (bre-1)	K01711 GDPmannose 4,6-dehydratase [EC:4.2.1.47] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R01H2.5 ger-1; GDP-keto-6-deoxymannose 3,5-Epimerase/4-Reductase family member (ger-1)	K02377 GDP-L-fucose synthase [EC:1.1.1.271] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K03H1.13 hypothetical protein	K00976 fucose-1-phosphate guanylyltransferase [EC:2.7.7.30] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F14B4.2 hypothetical protein	K00844 hexokinase [EC:2.7.1.1] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C50F4.2 hypothetical protein	K00850 6-phosphofructokinase [EC:2.7.1.11] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y71H10A.1 hypothetical protein	K00850 6-phosphofructokinase [EC:2.7.1.11] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K07A3.1 fbp-1; Fructose-1,6-BiPhosphatase family member (fbp-1)	K03841 fructose-1,6-bisphosphatase I [EC:3.1.3.11] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y110A7A.6 hypothetical protein	K01103 6-phosphofructo-2-kinase / fructose-2,6-bisphosphatase [EC:2.7.1.105 3.1.3.46] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K02B2.1 hypothetical protein	K01103 6-phosphofructo-2-kinase / fructose-2,6-bisphosphatase [EC:2.7.1.105 3.1.3.46] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F53A2.8 mtm-6; MTM (myotubularin) family member (mtm-6)	K01112 [EC:3.1.3.-] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C06B3.4 stdh-1; STeroid DeHydrogenase family member (stdh-1)	K00100 [EC:1.1.1.-] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C06B3.5 stdh-3; STeroid DeHydrogenase family member (stdh-3)	K00100 [EC:1.1.1.-] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C56G2.6 let-767; LEThal family member (let-767)	K00100 [EC:1.1.1.-] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F25G6.5 stdh-4; STeroid DeHydrogenase family member (stdh-4)	K00100 [EC:1.1.1.-] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F11A5.12 stdh-2; STeroid DeHydrogenase family member (stdh-2)	K00100 [EC:1.1.1.-] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R04B5.5 hypothetical protein	K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R04B5.6 hypothetical protein	K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y39G8B.1 hypothetical protein	K00011 aldehyde reductase [EC:1.1.1.21] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
B0024.15 hypothetical protein	K00754 [EC:2.4.1.-] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05D4.1 hypothetical protein	K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F01F1.12 hypothetical protein	K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y17G7B.7 tpi-1; Triose Phosphate Isomerase family member (tpi-1)	K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
M01D7.4 tag-96; Temporarily Assigned Gene name family member (tag-96)	K00849 galactokinase [EC:2.7.1.6] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C47B2.6 gale-1; UDP-GALactose 4-Epimerase family member (gale-1)	K01784 UDP-glucose 4-epimerase [EC:5.1.3.2] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K08E3.5 hypothetical protein	K00963 UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R05F9.6 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y43F4B.5 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F14B4.2 hypothetical protein	K00844 hexokinase [EC:2.7.1.1] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T19B10.3 hypothetical protein	K12309 beta-galactosidase [EC:3.2.1.23] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
ZK1058.3 hypothetical protein	K00965 UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y39G8B.1 hypothetical protein	K00011 aldehyde reductase [EC:1.1.1.21] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C50F4.2 hypothetical protein	K00850 6-phosphofructokinase [EC:2.7.1.11] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y71H10A.1 hypothetical protein	K00850 6-phosphofructokinase [EC:2.7.1.11] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
D2096.3 hypothetical protein	K01187 alpha-glucosidase [EC:3.2.1.20] 	00052 Galactose metabolism [PATH:cel00052] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F29F11.1 sqv-4; SQuashed Vulva family member (sqv-4)	K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
B0310.5 ugt-46; UDP-GlucuronosylTransferase family member (ugt-46)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T04H1.7 ugt-55; UDP-GlucuronosylTransferase family member (ugt-55)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T04H1.8 ugt-56; UDP-GlucuronosylTransferase family member (ugt-56)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F35H8.6 ugt-58; UDP-GlucuronosylTransferase family member (ugt-58)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C18C4.3 ugt-48; UDP-GlucuronosylTransferase family member (ugt-48)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T07C5.1 ugt-50; UDP-GlucuronosylTransferase family member (ugt-50)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F39G3.1 ugt-61; UDP-GlucuronosylTransferase family member (ugt-61)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
M88.1 ugt-62; UDP-GlucuronosylTransferase family member (ugt-62)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C17G1.3 ugt-23; UDP-GlucuronosylTransferase family member (ugt-23)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C54E4.5 hypothetical protein	K00469 inositol oxygenase [EC:1.13.99.1] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K04F1.15 alh-2; ALdehyde deHydrogenase family member (alh-2)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F54D8.3 alh-1; ALdehyde deHydrogenase family member (alh-1)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05H4.13 alh-4; ALdehyde deHydrogenase family member (alh-4)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F01F1.6 alh-9; ALdehyde deHydrogenase family member (alh-9)	K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y69F12A.2 alh-12; ALdehyde deHydrogenase family member (alh-12)	K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] 	00053 Ascorbate and aldarate metabolism [PATH:cel00053] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
D2096.3 hypothetical protein	K01187 alpha-glucosidase [EC:3.2.1.20] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C50F7.10 hypothetical protein	K05350 beta-glucosidase [EC:3.2.1.21] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F57B10.7 tre-1; TREhalase family member (tre-1)	K01194 alpha,alpha-trehalase [EC:3.2.1.28] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
W05E10.4 tre-3; TREhalase family member (tre-3)	K01194 alpha,alpha-trehalase [EC:3.2.1.28] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C23H3.7 tre-5; TREhalase family member (tre-5)	K01194 alpha,alpha-trehalase [EC:3.2.1.28] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05A12.2 tre-2; TREhalase family member (tre-2)	K01194 alpha,alpha-trehalase [EC:3.2.1.28] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F29F11.1 sqv-4; SQuashed Vulva family member (sqv-4)	K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
B0310.5 ugt-46; UDP-GlucuronosylTransferase family member (ugt-46)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T04H1.7 ugt-55; UDP-GlucuronosylTransferase family member (ugt-55)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T04H1.8 ugt-56; UDP-GlucuronosylTransferase family member (ugt-56)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F35H8.6 ugt-58; UDP-GlucuronosylTransferase family member (ugt-58)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C18C4.3 ugt-48; UDP-GlucuronosylTransferase family member (ugt-48)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T07C5.1 ugt-50; UDP-GlucuronosylTransferase family member (ugt-50)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F39G3.1 ugt-61; UDP-GlucuronosylTransferase family member (ugt-61)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
M88.1 ugt-62; UDP-GlucuronosylTransferase family member (ugt-62)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C17G1.3 ugt-23; UDP-GlucuronosylTransferase family member (ugt-23)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y105E8B.9 hypothetical protein	K01195 beta-glucuronidase [EC:3.2.1.31] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
D2096.4 sqv-1; SQuashed Vulva family member (sqv-1)	K08678 UDP-glucuronate decarboxylase [EC:4.1.1.35] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K08E3.5 hypothetical protein	K00963 UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R05F9.6 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y43F4B.5 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F14B4.2 hypothetical protein	K00844 hexokinase [EC:2.7.1.1] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y87G2A.8 gpi-1; Glucose-6-Phosphate Isomerase family member (gpi-1)	K01810 glucose-6-phosphate isomerase [EC:5.3.1.9] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T04A8.7 hypothetical protein	K00700 1,4-alpha-glucan branching enzyme [EC:2.4.1.18] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T22F3.3 hypothetical protein	K00688 starch phosphorylase [EC:2.4.1.1] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y46G5A.31 gsy-1; Glycogen SYnthase family member (gsy-1)	K00693 glycogen(starch) synthase [EC:2.4.1.11] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R06A4.8 hypothetical protein	K01196 glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33] 	00500 Starch and sucrose metabolism [PATH:cel00500] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C04F6.3 cht-1; CHiTinase family member (cht-1)	K01183 chitinase [EC:3.2.1.14] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T14F9.3 hex-1; HEXosaminidase family member (hex-1)	K12373 hexosaminidase [EC:3.2.1.52] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
W06B4.2 hypothetical protein	K00884 N-acetylglucosamine kinase [EC:2.7.1.59] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F21D5.1 hypothetical protein	K01836 phosphoacetylglucosamine mutase [EC:5.4.2.3] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C36A4.4 hypothetical protein	K00972 UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05H4.4 hypothetical protein	K00326 cytochrome-b5 reductase [EC:1.6.2.2] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05H4.5 hypothetical protein	K00326 cytochrome-b5 reductase [EC:1.6.2.2] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F48A11.1 chs-2; CHitin Synthase family member (chs-2)	K00698 chitin synthase [EC:2.4.1.16] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T25G3.2 chs-1; CHitin Synthase family member (chs-1)	K00698 chitin synthase [EC:2.4.1.16] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F14B4.2 hypothetical protein	K00844 hexokinase [EC:2.7.1.1] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F59B2.3 hypothetical protein	K01443 N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
B0024.12 gna-1; Glucosamine phosphate N-Acetyl transferase family member (gna-1)	K00621 glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T03F6.3 hypothetical protein	K02564 glucosamine-6-phosphate deaminase [EC:3.5.99.6] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F22B3.4 hypothetical protein	K00820 glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F07A11.2 hypothetical protein	K00820 glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
D2096.4 sqv-1; SQuashed Vulva family member (sqv-1)	K08678 UDP-glucuronate decarboxylase [EC:4.1.1.35] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y87G2A.8 gpi-1; Glucose-6-Phosphate Isomerase family member (gpi-1)	K01810 glucose-6-phosphate isomerase [EC:5.3.1.9] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R05F9.6 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y43F4B.5 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K08E3.5 hypothetical protein	K00963 UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
ZK1058.3 hypothetical protein	K00965 UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C01F1.3 hypothetical protein	K12450 UDP-glucose 4,6-dehydratase [EC:4.2.1.76] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F29F11.1 sqv-4; SQuashed Vulva family member (sqv-4)	K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
M01D7.4 tag-96; Temporarily Assigned Gene name family member (tag-96)	K00849 galactokinase [EC:2.7.1.6] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C47B2.6 gale-1; UDP-GALactose 4-Epimerase family member (gale-1)	K01784 UDP-glucose 4-epimerase [EC:5.1.3.2] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F52B11.2 hypothetical protein	K01840 phosphomannomutase [EC:5.4.2.8] 	00520 Amino sugar and nucleotide sugar metabolism [PATH:cel00520] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
